"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","485","@promise Promise.all reads all items in parallel","webkit","2026-07-20","passed","2026-07-20","","widgets.spec.ts","",""
"","30018","E2E: add employee, make admin, verify, delete","chromium","2026-07-20","passed","2026-07-20","","e2e-employee.spec.ts","",""
"","122","@promise Promise.all reads all items in parallel","chromium","2026-07-20","passed","2026-07-20","","widgets.spec.ts","",""
"","6264","TC-07 open Admin module","chromium","2026-07-20","passed","2026-07-20","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","6920","TC-10 search non-existent user shows No Records Found","chromium","2026-07-20","passed","2026-07-20","Zenith HR - Admin user search","admin-search.spec.ts","",""
"","9629","TC-09 search existing user ""Admin"" returns a result","firefox","2026-07-20","passed","2026-07-20","Zenith HR - Admin user search","admin-search.spec.ts","",""
"","4122","wrong username shows ""Invalid credentials""","chromium","2026-07-20","passed","2026-07-20","Zenith HR - negative login","login-negative.spec.ts","",""
"","35081","hire an employee, verify, update, grant access, then offboard","chromium","2026-07-20","passed","2026-07-20","E2E [UI] — Employee Lifecycle","e2e/employee-lifecycle.ui.e2e.spec.ts","",""
"","6371","TC-08 open PIM module","chromium","2026-07-20","passed","2026-07-20","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","1302","upload a file","firefox","2026-07-20","passed","2026-07-20","","upload-download.spec.ts","",""
"","153","radio: only one can be selected","chromium","2026-07-20","passed","2026-07-20","","widgets.spec.ts","",""
"","6589","TC-08 open PIM module","firefox","2026-07-20","passed","2026-07-20","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","6396","TC-10 search non-existent user shows No Records Found","webkit","2026-07-20","passed","2026-07-20","Zenith HR - Admin user search","admin-search.spec.ts","",""
"","188","upload a file","chromium","2026-07-20","passed","2026-07-20","","upload-download.spec.ts","",""
"","493","download a file","firefox","2026-07-20","passed","2026-07-20","","upload-download.spec.ts","",""
"","2833","empty fields show ""Required"" validation","webkit","2026-07-20","passed","2026-07-20","Zenith HR - negative login","login-negative.spec.ts","",""
"","7643","TC-06 logout returns to login page","firefox","2026-07-20","passed","2026-07-20","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","4821","Zenith HR login + explore the menu list (POM)","webkit","2026-07-20","passed","2026-07-20","","login.spec.ts","",""
"","38695","hire an employee, verify, update, grant access, then offboard","firefox","2026-07-20","passed","2026-07-20","E2E [UI] — Employee Lifecycle","e2e/employee-lifecycle.ui.e2e.spec.ts","",""
"","5517","wrong password shows ""Invalid credentials""","chromium","2026-07-20","passed","2026-07-20","Zenith HR - negative login","login-negative.spec.ts","",""
"","36180","hire an employee, verify, update, grant access, then offboard","webkit","2026-07-20","passed","2026-07-20","E2E [UI] — Employee Lifecycle","e2e/employee-lifecycle.ui.e2e.spec.ts","",""
"","261","@promise Promise.all reads all items in parallel","firefox","2026-07-20","passed","2026-07-20","","widgets.spec.ts","",""
"","519","@dropdown dropdown: select an option","webkit","2026-07-20","passed","2026-07-20","","widgets.spec.ts","",""
