"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35405","TC-07 open Admin module","chromium","2026-07-21","passed","2026-07-21","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","29231","TC-09 search existing user ""Admin"" returns a result","chromium","2026-07-21","passed","2026-07-21","Zenith HR - Admin user search","admin-search.spec.ts","",""
"","13656","wrong username shows ""Invalid credentials""","chromium","2026-07-21","passed","2026-07-21","Zenith HR - negative login","login-negative.spec.ts","",""
"","31497","TC-08 open PIM module","chromium","2026-07-21","passed","2026-07-21","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","143","@promise Promise.all reads all items in parallel","chromium","2026-07-21","passed","2026-07-21","","widgets.spec.ts","",""
"","157","radio: only one can be selected","chromium","2026-07-21","passed","2026-07-21","","widgets.spec.ts","",""
"","132","upload a file","chromium","2026-07-21","passed","2026-07-21","","upload-download.spec.ts","",""
"","152","@dropdown dropdown: select an option","chromium","2026-07-21","passed","2026-07-21","","widgets.spec.ts","",""
"","225","@checkbox checkbox: check, assert, uncheck","chromium","2026-07-21","passed","2026-07-21","","widgets.spec.ts","",""
"","21015","wrong password shows ""Invalid credentials""","chromium","2026-07-21","passed","2026-07-21","Zenith HR - negative login","login-negative.spec.ts","",""
"","28937","TC-10 search non-existent user shows No Records Found","chromium","2026-07-21","passed","2026-07-21","Zenith HR - Admin user search","admin-search.spec.ts","",""
"","9947","empty fields show ""Required"" validation","chromium","2026-07-21","passed","2026-07-21","Zenith HR - negative login","login-negative.spec.ts","",""
"","162","download a file","chromium","2026-07-21","passed","2026-07-21","","upload-download.spec.ts","",""
"","36587","TC-06 logout returns to login page","chromium","2026-07-21","passed","2026-07-21","Zenith HR - navigation & logout","navigation.spec.ts","",""
"","131","filter a list item, then split its text","chromium","2026-07-21","passed","2026-07-21","","widgets.spec.ts","",""
"","18736","Zenith HR login + explore the menu list (POM)","chromium","2026-07-21","passed","2026-07-21","","login.spec.ts","",""
